antecedent,consequent,confidence,lift,support,readable
"['CPU_i5', 'STORAGE_128-256GB']",['RAM_8-16GB'],0.6566037735849056,2.2657454158915757,0.08877551020408163,"CPU_i5, STORAGE_128-256GB  ->  RAM_8-16GB   (confidence=0.66, lift=2.27)"
"['RAM_8-16GB', 'PRICE_1200+']",['STORAGE_SSD'],0.9191176470588235,2.2574819401444786,0.12755102040816327,"RAM_8-16GB, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.92, lift=2.26)"
"['CPU_i5', 'PRICE_1200+', 'GPU_IntelIntegrated']",['STORAGE_SSD'],0.9174311926605505,2.2533397714469663,0.05102040816326531,"CPU_i5, PRICE_1200+, GPU_IntelIntegrated  ->  STORAGE_SSD   (confidence=0.92, lift=2.25)"
"['CPU_i7/i9', 'STORAGE_SSD']",['GPU_NVIDIA'],0.473972602739726,2.2493615045275135,0.08826530612244898,"CPU_i7/i9, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.47, lift=2.25)"
"['PRICE_400-700', 'GPU_IntelIntegrated']",['RAM_<8GB'],0.43089430894308944,2.2461511849161044,0.05408163265306123,"PRICE_400-700, GPU_IntelIntegrated  ->  RAM_<8GB   (confidence=0.43, lift=2.25)"
"['CPU_i7/i9', 'PRICE_1200+', 'GPU_IntelIntegrated']",['STORAGE_SSD'],0.9142857142857143,2.245614035087719,0.0653061224489796,"CPU_i7/i9, PRICE_1200+, GPU_IntelIntegrated  ->  STORAGE_SSD   (confidence=0.91, lift=2.25)"
"['RAM_8-16GB', 'STORAGE_128-256GB']",['CPU_i5'],0.5370370370370371,2.244333886124931,0.08877551020408163,"RAM_8-16GB, STORAGE_128-256GB  ->  CPU_i5   (confidence=0.54, lift=2.24)"
"['STORAGE_SSD', 'PRICE_1200+']",['CPU_i7/i9'],0.6452328159645233,2.226507604384623,0.14846938775510204,"STORAGE_SSD, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.65, lift=2.23)"
"['CPU_i5', 'PRICE_1200+']",['STORAGE_SSD'],0.9044117647058824,2.221362229102167,0.06275510204081633,"CPU_i5, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.90, lift=2.22)"
['RAM_<8GB'],['PRICE_400-700'],0.43617021276595747,2.2205029013539654,0.0836734693877551,"RAM_<8GB  ->  PRICE_400-700   (confidence=0.44, lift=2.22)"
['PRICE_400-700'],['RAM_<8GB'],0.42597402597402595,2.220502901353965,0.0836734693877551,"PRICE_400-700  ->  RAM_<8GB   (confidence=0.43, lift=2.22)"
"['PRICE_700-1200', 'STORAGE_128-256GB']",['RAM_8-16GB'],0.6428571428571429,2.21830985915493,0.050510204081632655,"PRICE_700-1200, STORAGE_128-256GB  ->  RAM_8-16GB   (confidence=0.64, lift=2.22)"
"['CPU_i7/i9', 'PRICE_1200+']",['STORAGE_SSD'],0.8953846153846153,2.1991902834008097,0.14846938775510204,"CPU_i7/i9, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.90, lift=2.20)"
"['STORAGE_256-512GB', 'STORAGE_SSD']",['CPU_i7/i9'],0.6369426751592356,2.1979007804790527,0.05102040816326531,"STORAGE_256-512GB, STORAGE_SSD  ->  CPU_i7/i9   (confidence=0.64, lift=2.20)"
"['CPU_i5', 'STORAGE_128-256GB', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.6367713004484304,2.197309417040359,0.07244897959183673,"CPU_i5, STORAGE_128-256GB, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.64, lift=2.20)"
"['GPU_NVIDIA', 'CPU_i7/i9', 'PRICE_1200+']",['STORAGE_SSD'],0.8941176470588236,2.196078431372549,0.07755102040816327,"GPU_NVIDIA, CPU_i7/i9, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.89, lift=2.20)"
